"CUSTOMER_WID","VISITS_NUM"
307587201,1
307587214,1
307587217,15
307587257,1
307587314,22
307587365,11
307587376,8
307591903,17
307592331,4
307592452,1
307592556,1
307592691,5
307592884,1
307593013,1
307593097,1
307593338,7
307593343,4
307593427,7
307593541,10
307593674,1
307593866,4
307594014,3
307594067,7
307594110,23
309126228,8
309960691,16
311623623,10
312450911,2
315787732,2
316617060,10
320782550,24
322463436,1
324136566,12
327485589,4
327486117,5
327486670,4
328330840,4
330009268,5
331693455,14
332539388,2
332539672,7
333394220,8
333394865,6
339355240,13
339355352,3
339355790,3
345324675,5
347029276,6
348730146,5
350437990,22
354709802,33
358139968,12
359002679,5
360716567,4
373705630,6
375445432,11
378084477,14
379852641,9
379853174,20
380722087,2
380723079,32
383344849,7
384223983,14
384224005,1
385100179,24
385100831,9
385101820,17
385979606,17
387736090,14
392137419,6
394781411,8
394781594,2
394781699,19
394781902,16
395664183,23
397434990,12
397435753,9
397435754,2
398323677,7
399211503,6
402761845,2
402762290,7
404545916,4
404545982,11
409907552,2
409907593,21
411704430,19
415293795,4
415294342,16
417084629,32
417085252,5
417086126,17
423425964,13
423426388,1
426140477,2
433394179,5
434586339,14
435244798,10
435245642,3
436164821,18
438002209,11
438002465,6
438919931,4
439839239,3
440756542,4
440756750,22
441675758,15
441676030,13
443512253,7
443513785,7
444434055,12
444434605,5
445350911,24
445351041,11
445352384,21
449961320,23
449962036,13
449962042,8
452739876,11
453671933,22
453671947,7
453672006,6
453672156,28
453672213,9
459248995,35
459249019,2
461113752,14
461114859,7
462978598,37
462978622,9
462978678,2
463913229,3
463913840,29
464849607,3
466435974,27
466633005,5
467632000,25
468121383,2
470434635,11
470439263,10
471388038,3
471923220,2
472330019,21
472332007,20
472896509,7
473256944,19
475146435,5
477498271,15
479882825,24
480532860,22
480535134,3
480807577,6
480812760,6
483285022,15
484350075,3
484612309,4
486043560,2
486136770,7
486496181,5
490024992,3
490334628,23
490334894,9
491796624,21
491836742,6
494898923,13
495120578,8
495650935,14
496070514,4
497032524,3
497540575,6
498947640,8
499018745,13
499019579,4
499019738,3
499019872,2
499020198,12
499020247,14
499982612,17
499982928,8
500944802,20
502869773,13
503836206,7
504802675,6
504803169,6
505791552,19
505792302,3
506756576,17
507723978,1
510636664,8
511606492,7
511606506,5
511607255,2
511607580,8
513565042,6
515510754,13
515511814,17
515512030,2
515512031,12
516484971,7
516485050,2
516485056,14
