CUSTOMER_ID,COLLECTIONS_NUM
21394514,4
21424846,14
21853291,1
21863454,2
22144599,5
21527363,8
22814439,2
22309858,4
21759712,12
21153489,6
22849718,2
21625455,9
22197443,1
22407063,8
21295086,1
21144777,1
22689056,3
22061277,1
21984502,3
21079298,7
21852366,3
21763801,4
22658784,2
21480347,1
21620201,1
22196348,7
21792130,3
21355352,8
21260526,11
22735600,1
22381101,16
22710272,1
22505221,11
21256027,5
21108006,1
21399461,3
23294718,2
22829135,1
23294950,1
22823979,9
21647436,6
21244838,8
21847597,5
22245734,2
23505312,1
22291447,5
21251576,4
21600769,9
21900451,4
21363896,1
22388632,9
21994850,1
22077091,9
22223485,8
21779785,4
21505100,10
21306745,4
21128284,3
21975075,10
22016830,3
22233401,9
22745203,3
21463344,3
22912038,1
22207742,6
22381774,2
21832964,3
22882031,2
22248669,3
21922867,1
21487257,9
22604581,1
22015347,1
22037512,5
22922277,1
22518071,4
21586159,5
21898740,5
22227939,6
22823881,2
22824393,2
21568015,3
21519346,17
21982223,7
21812336,3
21799144,5
22789997,3
22067666,4
21846975,1
22354381,5
21365215,7
21250425,4
22291001,14
21768940,3
21134003,2
23572900,1
21361678,3
21645511,6
23626550,3
22489938,1
21923513,8
23261900,6
22718445,1
22058984,2
21664230,5
21174810,9
22666733,3
22198965,2
22595040,1
21626591,11
22299108,1
22107633,10
22221600,1
21281121,1
22736300,2
22392790,16
22316861,16
21633828,1
21182083,12
21845510,1
21805400,7
21246384,1
22125603,12
21284594,4
22755381,8
22191388,2
21642791,10
21620411,1
22732711,1
21889922,1
21832595,2
21472992,5
23628506,1
21225379,20
21428435,4
22582648,6
21342757,10
23372283,3
21865491,8
21370172,1
21618552,4
22269243,20
22029254,8
22686050,2
21540467,4
22202861,3
21321635,5
21697795,3
22534508,2
22354475,5
22649612,3
21525977,2
21614524,4
21686362,1
22046367,7
21449011,1
22044933,4
21250616,15
21452145,5
21288293,11
21298969,3
21697999,11
22526372,5
21322889,7
