"CANCELED","ROW_WID","ACCNT_LOC","ARPU","SES","HOME_PASSED","CUST_SINCE_DT","MONTHS_AGE","CANCEL_DT","CITY","POP"
1,1219685282,"4326480",178.56,"D",248,26-FEB-17,5.64,15-AGO-17,"MONCLOVA","MC"
1,1160088650,"4319253",149,"D",941,09-ENE-17,4.7,31-MAY-17,"MONCLOVA","MC"
1,1218439565,"4326193",241.19,"D",2376,26-FEB-17,5.64,15-AGO-17,"MONCLOVA","MC"
1,1229652894,"4327522",189.11,"D",511,07-MAR-17,5.79,31-AGO-17,"MONCLOVA","MC"
1,1269607230,"4331598",264.71,"C",4892,20-ABR-17,1.67,10-JUN-17,"MONCLOVA","MC"
1,1293405318,"4333588",538.95,"D",281,11-MAY-17,3.63,31-AGO-17,"MONCLOVA","MC"
1,1307183591,"4334881",977.8,"C",860,09-MAY-17,3.7,31-AGO-17,"MONCLOVA","MC"
1,1313457709,"4335346",232.43,"D",2376,10-MAY-17,1.7,01-JUL-17,"MONCLOVA","MC"
1,1225910334,"4327040",269.22,"C",4892,02-MAR-17,4.6,21-JUL-17,"MONCLOVA","MC"
1,1218439568,"4326288",165.84,"D+",448,24-FEB-17,5.54,10-AGO-17,"MONCLOVA","MC"
1,1229652999,"4327533",310.29,"C",3439,09-MAR-17,5.7,31-AGO-17,"MONCLOVA","MC"
1,1229653001,"4327528",386.19,"D",511,07-MAR-17,3.82,01-JUL-17,"MONCLOVA","MC"
1,1237138141,"4328287",310.51,"D",2376,13-MAR-17,2.79,07-JUN-17,"MONCLOVA","MC"
1,1295903002,"4333878",223.52,"D",179,27-ABR-17,2.64,16-JUL-17,"MONCLOVA","MC"
1,1314713040,"4335531",341.33,"D",77,12-MAY-17,1.86,08-JUL-17,"MONCLOVA","MC"
1,1237137278,"4328335",161.22,"D",2376,10-MAR-17,3.69,01-JUL-17,"MONCLOVA","MC"
1,1270573908,"4331618",261.47,"D",536,02-MAY-17,1.57,20-JUN-17,"MONCLOVA","MC"
1,1270594010,"4331612",268.45,"D",296,06-ABR-17,1.8,31-MAY-17,"MONCLOVA","MC"
1,1270599445,"4331562",502.09,"D",1813,06-ABR-17,4.46,20-AGO-17,"MONCLOVA","MC"
1,1225910550,"4327056",315.39,"D+",448,01-MAR-17,5.6,20-AGO-17,"MONCLOVA","MC"
1,1314713900,"4335462",340.24,"D",77,25-MAY-17,1.7,16-JUL-17,"MONCLOVA","MC"
1,1314713901,"4335469",341.33,"D",455,12-MAY-17,1.86,08-JUL-17,"MONCLOVA","MC"
1,1220680058,"4326464",153.71,"D",2376,25-FEB-17,4.56,11-JUL-17,"MONCLOVA","MC"
1,1218439676,"4326204",511.36,"D",2376,02-MAR-17,5.57,20-AGO-17,"MONCLOVA","MC"
1,1229653211,"4327536",117.44,"D",536,11-MAR-17,2.64,31-MAY-17,"MONCLOVA","MC"
1,1230634976,"4327516",490.15,"D",511,09-MAR-17,3.73,01-JUL-17,"MONCLOVA","MC"
1,1269607446,"4331616",248,"D",2376,08-ABR-17,4.76,31-AGO-17,"MONCLOVA","MC"
1,1278380645,"4332491",174.3,"D",2085,26-ABR-17,2.66,16-JUL-17,"FRONTERA","MC"
1,1312209214,"4335223",317.17,"D",2376,10-MAY-17,1.7,01-JUL-17,"MONCLOVA","MC"
1,1312209216,"4335221",180.7,"D",2376,15-MAY-17,2.73,07-AGO-17,"MONCLOVA","MC"
1,1312209217,"4335226",340.42,"D",2376,10-MAY-17,1.7,01-JUL-17,"MONCLOVA","MC"
1,1312210086,"4335163",501.88,"D",2376,09-MAY-17,2.7,31-JUL-17,"MONCLOVA","MC"
1,1313130708,"4335203",326.83,"D",2376,15-MAY-17,1.77,08-JUL-17,"MONCLOVA","MC"
1,1313456621,"4335376",381.55,"D",2376,13-MAY-17,1.83,08-JUL-17,"MONCLOVA","MC"
1,1313456623,"4335381",212.1,"D",2376,10-MAY-17,2.66,31-JUL-17,"MONCLOVA","MC"
1,1234636979,"4328039",235.99,"D",284,09-MAR-17,5.7,31-AGO-17,"MONCLOVA","MC"
1,1163800536,"4319579",262.4,"C",3439,25-ENE-17,4.53,10-JUN-17,"MONCLOVA","MC"
1,1223422550,"4326700",186.9,"D+",868,08-MAR-17,5.73,31-AGO-17,"MONCLOVA","MC"
1,1234638290,"4327983",530.23,"D",511,10-MAR-17,4.69,31-JUL-17,"MONCLOVA","MC"
1,1157612534,"4319046",161.5,"D",248,06-ENE-17,5.82,01-JUL-17,"MONCLOVA","MC"
1,1235890687,"4328134",193.32,"D",536,10-MAR-17,4.69,31-JUL-17,"MONCLOVA","MC"
1,1223423642,"4326777",237.06,"D",941,28-FEB-17,5.57,15-AGO-17,"MONCLOVA","MC"
1,1148949432,"4318266",613.27,"B",19,09-ENE-17,7.7,31-AGO-17,"MONCLOVA","MC"
1,1206003353,"4324509",457.65,"D+",868,20-FEB-17,4.7,11-JUL-17,"MONCLOVA","MC"
1,1206004234,"4324564",225.6,"D+",868,14-FEB-17,5.79,07-AGO-17,"MONCLOVA","MC"
1,1206004446,"4324451",297.97,"D+",868,15-FEB-17,5.73,07-AGO-17,"MONCLOVA","MC"
1,1157613521,"4318992",121,"D",877,17-ENE-17,6.67,07-AGO-17,"MONCLOVA","MC"
1,1214706841,"4325722",340.3,"C",339,21-FEB-17,3.63,10-JUN-17,"MONCLOVA","MC"
1,1227167309,"4327179",234.26,"D+",868,03-MAR-17,5.53,20-AGO-17,"MONCLOVA","MC"
1,1206003466,"4324512",490.83,"D+",868,14-FEB-17,4.79,08-JUL-17,"MONCLOVA","MC"
1,1206004346,"4324597",400.05,"D",877,20-FEB-17,4.7,11-JUL-17,"MONCLOVA","MC"
1,1148948883,"4318220",380,"D",941,06-ENE-17,4.8,31-MAY-17,"MONCLOVA","MC"
1,1158537406,"4318963",237.01,"C",3439,05-ENE-17,6.5,21-JUL-17,"MONCLOVA","MC"
