"CANCELED","ROW_WID","ACCNT_LOC","ARPU","SES","HOME_PASSED","CUST_SINCE_DT","MONTHS_AGE","CANCEL_DT","CITY","POP"
1,777391054,"4243611",620,"D",2085,26-FEB-16,5.12,30-JUL-16,"FRONTERA","MC"
1,777391165,"4243620",665,"C",3439,22-FEB-16,7.22,29-SEP-16,"MONCLOVA","MC"
1,779723371,"4243887",470,"C",3439,25-FEB-16,10.18,30-DIC-16,"MONCLOVA","MC"
1,780890559,"4244233",349.17,"C",1306,27-FEB-16,8.11,30-OCT-16,"MONCLOVA","MC"
1,782057339,"4244535",620,"C",3439,01-MAR-16,4.93,30-JUL-16,"MONCLOVA","MC"
1,777391053,"4243607",665,"C",1149,01-MAR-16,9.92,30-DIC-16,"FRONTERA","MC"
1,777391055,"4243615",470,"C",1149,20-FEB-16,9.26,28-NOV-16,"FRONTERA","MC"
1,779722950,"4243778",879,"C",3273,24-FEB-16,15.16,29-MAY-17,"MONCLOVA","MC"
1,779723059,"4243872",665,"D",1499,22-FEB-16,7.22,29-SEP-16,"MONCLOVA","MC"
1,780889798,"4244207",470,"C",3439,23-FEB-16,9.16,28-NOV-16,"MONCLOVA","MC"
1,780890560,"4244249",470,"C",3439,27-FEB-16,9.04,28-NOV-16,"MONCLOVA","MC"
1,780890337,"4244103",486,"C",3439,23-FEB-16,16.19,29-JUN-17,"MONCLOVA","MC"
1,782056351,"4244430",620,"C",3439,25-FEB-16,10.15,30-DIC-16,"MONCLOVA","MC"
1,782057226,"4244384",665,"D",489,11-MAR-16,9.6,30-DIC-16,"MONCLOVA","MC"
1,782056572,"4244443",620,"C",3439,01-MAR-16,5.91,29-AGO-16,"MONCLOVA","MC"
1,782056574,"4244477",695,"B",909,24-FEB-16,12.1,27-FEB-17,"MONCLOVA","MC"
1,782057660,"4244416",486,"C",3439,24-FEB-16,12.1,27-FEB-17,"MONCLOVA","MC"
1,782056914,"4244708",319,"C",783,25-FEB-16,5.16,30-JUL-16,"MONCLOVA","MC"
1,782057225,"4244383",620,"C",3439,09-ABR-16,5.64,29-SEP-16,"MONCLOVA","MC"
1,782057329,"4244387",620,"C",767,24-FEB-16,5.19,30-JUL-16,"MONCLOVA","MC"
1,782057336,"4244500",486,"C",3439,01-MAR-16,15.9,29-JUN-17,"MONCLOVA","MC"
1,782057337,"4244511",301,"D",1499,01-MAR-16,13.9,29-ABR-17,"MONCLOVA","MC"
1,782057988,"4244422",620,"C",3439,24-FEB-16,5.18,30-JUL-16,"MONCLOVA","MC"
1,782057991,"4244553",470,"D",1499,28-MAR-16,7.05,30-OCT-16,"MONCLOVA","MC"
1,783222734,"4245008",620,"C",3439,26-FEB-16,6.12,29-AGO-16,"MONCLOVA","MC"
1,783222850,"4245023",620,"C",3439,07-MAR-16,5.71,29-AGO-16,"MONCLOVA","MC"
1,783222952,"4244954",470,"C",3439,05-MAR-16,4.8,30-JUL-16,"MONCLOVA","MC"
1,783223058,"4244963",665,"C",4892,26-FEB-16,5.12,30-JUL-16,"MONCLOVA","MC"
1,783223719,"4244984",620,"D",243,07-MAR-16,5.71,29-AGO-16,"MONCLOVA","MC"
1,783224048,"4244989",486,"C",3273,07-MAR-16,12.74,30-MAR-17,"MONCLOVA","MC"
1,787883808,"4246090",695,"C",860,01-MAR-16,15.9,29-JUN-17,"MONCLOVA","MC"
1,783222832,"4244798",470,"C",3439,01-MAR-16,9.93,30-DIC-16,"MONCLOVA","MC"
1,783222848,"4245014",470,"D",876,26-FEB-16,8.12,30-OCT-16,"MONCLOVA","MC"
1,783222849,"4245018",620,"C",3439,03-MAR-16,4.86,30-JUL-16,"MONCLOVA","MC"
1,783222950,"4244947",620,"C",3273,26-FEB-16,5.12,30-JUL-16,"MONCLOVA","MC"
1,783222953,"4244960",650,"C",3439,02-MAR-16,10.9,30-ENE-17,"MONCLOVA","MC"
1,783222954,"4245024",620,"C",3439,26-FEB-16,9.07,28-NOV-16,"MONCLOVA","MC"
1,784398379,"4245131",470,"C",3439,01-MAR-16,8.87,28-NOV-16,"MONCLOVA","MC"
1,783223619,"4244968",650,"C",3439,04-MAR-16,11.74,27-FEB-17,"MONCLOVA","MC"
1,783224799,"4245045",382,"C",3439,26-FEB-16,11.12,30-ENE-17,"MONCLOVA","MC"
1,784398303,"4245305",486,"D",1813,05-MAR-16,10.81,30-ENE-17,"MONCLOVA","MC"
1,784396736,"4245153",470,"D",1499,26-FEB-16,6.1,29-AGO-16,"MONCLOVA","MC"
1,784398072,"4245220",695,"D",1499,05-MAR-16,16.75,29-JUL-17,"MONCLOVA","MC"
1,784398073,"4245273",486,"C",3439,26-FEB-16,13.12,30-MAR-17,"MONCLOVA","MC"
1,784398169,"4245211",470,"C",3439,26-FEB-16,5.12,30-JUL-16,"MONCLOVA","MC"
1,784398371,"4245116",620,"C",3439,26-FEB-16,5.12,30-JUL-16,"MONCLOVA","MC"
1,784398407,"4245311",470,"C",1149,08-MAR-16,6.67,29-SEP-16,"FRONTERA","MC"
1,785560613,"4245588",620,"C",4892,02-MAR-16,6.87,29-SEP-16,"MONCLOVA","MC"
1,785560173,"4245548",470,"C",3439,01-MAR-16,4.92,30-JUL-16,"MONCLOVA","MC"
1,785560724,"4245596",620,"C",59,02-MAR-16,4.89,30-JUL-16,"FRONTERA","MC"
1,785560600,"4245446",121.62,"C",3439,27-FEB-16,6.06,29-AGO-16,"MONCLOVA","MC"
1,785560601,"4245471",665,"C",3439,27-FEB-16,8.09,30-OCT-16,"MONCLOVA","MC"
1,785561146,"4245483",470,"D",1499,27-FEB-16,5.09,30-JUL-16,"MONCLOVA","MC"
1,785561473,"4245404",486,"C",3439,07-MAR-16,11.64,27-FEB-17,"MONCLOVA","MC"
1,787885181,"4245665",620,"C",3439,01-MAR-16,8.88,28-NOV-16,"MONCLOVA","MC"
1,789054588,"4246537",470,"D",387,04-MAR-16,4.83,30-JUL-16,"MONCLOVA","MC"
1,789054690,"4246545",470,"C",767,01-MAR-16,4.92,30-JUL-16,"MONCLOVA","MC"
1,785560940,"4245606",486,"C",1306,01-MAR-16,11.85,27-FEB-17,"MONCLOVA","MC"
1,787884862,"4245743",486,"C",605,01-MAR-16,11.85,27-FEB-17,"MONCLOVA","MC"
1,787883914,"4245799",356.67,"C",842,03-MAR-16,7.86,30-OCT-16,"MONCLOVA","MC"
1,789054471,"4246415",620,"C",3439,01-MAR-16,4.92,30-JUL-16,"MONCLOVA","MC"
1,789054790,"4246419",470,"C",3439,02-MAR-16,4.92,30-JUL-16,"MONCLOVA","MC"
1,789054587,"4246517",486,"C",3439,02-MAR-16,12.91,30-MAR-17,"MONCLOVA","MC"
1,789054799,"4246547",695,"C",3439,02-MAR-16,17.9,29-AGO-17,"MONCLOVA","MC"
1,789055336,"4246468",650,"C",1306,02-MAR-16,10.93,30-ENE-17,"MONCLOVA","MC"
