"CANCELED","ROW_WID","ACCNT_LOC","ARPU","SES","HOME_PASSED","CUST_SINCE_DT","MONTHS_AGE","CANCEL_DT","CITY","POP"
1,804310410,"4250584",470,"C",3439,18-MAR-16,5.35,29-AGO-16,"MONCLOVA","MC"
1,804310618,"4250487",470,"C",1162,16-MAR-16,10.45,30-ENE-17,"MONCLOVA","MC"
1,805491030,"4250698",620,"C",1149,16-MAR-16,5.41,29-AGO-16,"FRONTERA","MC"
1,805491341,"4250713",620,"D",890,02-ABR-16,5.89,29-SEP-16,"MONCLOVA","MC"
1,800795749,"4249958",650,"C",1149,16-MAR-16,11.36,27-FEB-17,"FRONTERA","MC"
1,800796492,"4249785",815,"C",1149,28-MAR-16,5.03,29-AGO-16,"FRONTERA","MC"
1,800796699,"4249733",620,"C",1149,16-MAR-16,9.44,30-DIC-16,"FRONTERA","MC"
1,800796804,"4249714",1020,"A",2592,11-MAR-16,9.6,30-DIC-16,"MONCLOVA","MC"
1,801964941,"4250126",470,"C",1149,15-MAR-16,9.5,30-DIC-16,"FRONTERA","MC"
1,801965690,"4250058",249,"D",489,24-MAR-16,9.19,30-DIC-16,"MONCLOVA","MC"
1,801965039,"4250022",470,"D",1499,28-MAR-16,5.03,29-AGO-16,"MONCLOVA","MC"
1,801965151,"4250144",319,"C",381,15-MAR-16,5.44,29-AGO-16,"MONCLOVA","MC"
1,801965587,"4250051",620,"C",790,28-MAR-16,5.03,29-AGO-16,"MONCLOVA","MC"
1,801966011,"4250070",470,"B",243,14-MAR-16,5.48,29-AGO-16,"MONCLOVA","MC"
1,804309313,"4250396",486,"C",1149,28-MAR-16,10.06,30-ENE-17,"FRONTERA","MC"
1,804309315,"4250414",470,"C",3439,17-MAR-16,8.38,28-NOV-16,"MONCLOVA","MC"
1,804310074,"4250442",470,"D",753,15-MAR-16,8.42,28-NOV-16,"MONCLOVA","MC"
1,804309540,"4250519",620,"C",3439,17-MAR-16,6.39,29-SEP-16,"MONCLOVA","MC"
