"CUSTOMER_WID","KEYWORDS_NUM"
307582746,28
311623623,3
307585869,34
565557786,1
702273835,1
727553102,9
307582379,8
472332007,1
724093825,1
725241778,7
675178071,5
307580696,1
307580780,8
757624260,2
750676971,6
708027560,3
307585809,1
744886909,24
307585508,2
772729496,3
701126852,1
307575613,6
736790962,1
623264391,3
307575985,2
307585018,3
679307321,5
449962042,1
552993636,3
307576233,5
682775578,8
480812760,2
792564624,2
696544369,6
307581843,4
616531691,3
798427080,24
740255019,3
751838186,3
307586606,13
441675758,1
537150312,16
307581148,1
307575700,4
805491761,2
759945428,16
307577762,4
809012833,28
307584496,9
499019579,1
728709613,8
307584903,2
307578558,11
722940554,3
307579999,11
814871581,5
804309325,12
574003478,1
307578614,1
307579779,4
824289177,2
831350367,7
824290487,45
825470719,1
685097312,7
825470125,24
714898744,10
831349706,2
631078575,1
307579264,4
816046491,9
524330891,2
566474177,1
832521825,1
739098580,1
621966580,17
652847656,7
780889582,11
847846846,2
307581266,6
571594203,5
849022892,3
857301832,2
856121532,2
734477331,2
574799921,2
830166590,5
858493004,3
710319768,5
857301286,3
631456517,4
860855955,1
858493232,2
307587091,2
579109848,3
870345736,2
867966975,16
857300972,1
607747689,2
634590597,5
875083205,2
307580745,5
853759033,2
307579540,13
726405710,3
744886024,3
872712465,2
878643676,5
830166365,3
875082326,2
859670518,3
830166163,1
601672972,6
776228487,1
724090140,5
307580010,1
307586913,1
830166370,1
307585514,4
891723563,10
882021193,5
772728613,1
529241125,2
891723437,1
307582108,14
826642187,1
853759460,1
883400115,15
840756715,3
606288094,2
307581413,1
896491727,4
783223619,2
671054387,10
739098681,5
896492178,1
914388235,2
565031055,2
307578019,5
904837769,4
809013213,1
520395842,4
307586003,2
888159866,4
686238511,11
791396613,5
834873361,4
579082805,5
926356595,1
849023322,3
680428370,3
307573660,3
920369239,1
780890882,3
728709395,11
567045049,1
846666598,1
937145817,1
307586263,1
411704430,2
307578368,9
307582791,1
920364609,1
928748838,6
920365153,2
307575011,4
307577248,1
307580091,3
587171825,3
307586944,1
799611153,1
934744648,6
917978221,1
641604036,2
950352926,4
839582284,1
307580108,1
956368490,6
953960958,3
491796624,1
784398072,6
961178965,10
945546268,2
961178638,8
307578239,1
937145819,1
307577639,3
959979297,2
969619333,3
963588647,1
963589833,2
965999092,3
886962676,1
956368486,1
579514701,8
975656903,3
840756730,2
967210458,1
743725614,3
825470129,1
974443873,2
444434605,2
934743917,15
944346486,3
985315472,1
856121968,1
962393608,1
685098421,1
962393827,3
995012278,6
995011723,1
970829236,12
575385616,1
999852804,1
1001065942,2
976857364,1
635256270,1
1004716107,5
796077266,1
693117998,1
970829337,2
1002282507,10
997434960,1
784396727,2
831350144,1
962393723,1
1011996705,5
1003489934,9
307582385,2
307575339,1
901253722,2
928748402,1
1030283117,11
307579820,2
1043730155,4
1029066940,1
1009563596,1
307575217,2
1009563041,2
1020524561,3
307579396,1
1046177177,3
961178089,3
864410568,2
747197128,1
1027845040,1
1036387565,9
1049843394,3
1030282241,5
1030282034,1
706875736,3
307584714,13
1026617724,5
1044944815,5
1010789100,4
1046177611,2
307586835,2
1040054812,2
992577640,2
1062091060,3
862043059,6
1065776273,5
307581749,8
1062090727,2
1064550918,2
1068219745,1
1044946006,1
639288860,2
615850447,1
987739202,1
1073126679,2
404545916,3
970829117,1
959978431,1
1080503463,3
1068219736,4
1014433884,10
1090327985,3
1070674239,1
683945883,3
1089105060,2
1082954219,1
307576643,1
733318226,2
1082954868,2
968418088,1
1095244027,13
877457515,10
875081782,6
927550283,1
1063317058,2
1107557951,12
718347666,2
332539672,1
1113722196,2
1080502032,2
1091556667,4
1105103442,3
1114959132,1
307576289,1
701127287,1
988955644,1
871526398,1
1112487177,2
621930142,2
1124828288,2
1111255755,2
1052290372,13
1123596975,8
856121217,4
1106334574,2
872711692,10
511607580,11
1123597637,6
1111255430,3
1121121865,7
631366809,2
995003683,1
903639603,3
1111255530,3
967210022,1
1124826855,3
1010778381,11
1081726873,4
690820323,1
1086639444,5
1137820654,1
1108792879,7
1110019461,1
1027845696,2
1010789538,1
1160088760,1
1047398646,3
995011830,14
1105102563,3
1108792878,6
307585275,2
1107557376,2
1111254754,5
1097714382,6
1171244595,5
307586077,1
307584758,5
1116192958,4
609043388,2
937146027,2
1052291256,1
1148949967,1
1133479576,2
701126512,2
1128527252,21
484350075,1
1129769495,1
1033942084,2
1052291030,1
1194555674,1
838400651,6
1128528130,3
1132236887,2
1193579235,3
993790444,1
1098937953,1
1179919726,2
757623920,1
1182405095,1
1202274069,3
327486117,6
307586233,2
1198534908,1
307579609,2
1214707609,1
1212223560,1
1220698702,3
1210974249,1
1218440013,6
1184877022,1
1199779050,1
799610731,1
1207246536,1
307575788,5
1198534252,2
1223422769,10
1223422654,4
307582454,1
1085416406,1
333394865,1
1198534480,1
731005343,2
1208218046,1
1179919188,1
484612309,2
307577807,1
1126063081,1
853758938,1
1218439572,4
1214706070,1
1097713711,2
1198534030,2
1214706841,1
1176194035,1
307581797,2
1129768806,1
586164124,1
307577847,2
1247120360,1
659435021,1
1126061981,2
1209731419,1
1218439444,1
1054738974,1
601952846,1
1247120357,1
307576359,2
1111254434,1
1126063083,2
962393500,4
307587079,1
307587138,2
1035167411,1
1212224318,1
690819975,4
495120578,4
1035167210,4
1112488483,1
1090328203,1
1128523632,3
1203516068,1
1141528204,1
1273371854,1
1035167305,6
1070674352,2
1122363418,2
1171245467,1
1191092282,2
1279631699,2
1113721973,1
307582706,1
1289643451,1
1279631370,4
1274624122,4
1113722954,3
1079272887,4
1294654320,1
1259606029,1
1202031221,1
1298419978,1
1262106194,1
307582402,1
1270864672,6
1293405436,2
307584830,1
1304679179,2
307585220,1
858489036,7
1290896423,5
1313184612,4
1228412951,1
1297162517,3
1315969404,2
1315972110,1
790228060,1
1320990947,1
307577688,3
307578278,1
1312208891,1
796078361,2
307580164,1
1315708806,2
1208231958,1
1339824819,5
1338249625,1
1346108000,1
1339824604,1
1004716150,2
1198534372,10
982903905,2
714898968,2
1353438523,5
1347368726,1
1349890142,2
1352400918,1
1349890195,4
1338565544,2
1308441457,1
1320990725,7
307579104,1
1337314792,1
307578753,1
1022957506,1
1364986287,5
1013212202,1
1046177613,1
1376336500,1
1186127497,2
952762803,2
1337315766,5
1381379816,3
892920241,1
1381379054,1
1381379924,2
1214706296,2
360716567,1
1353420200,1
1381378836,1
1360877416,2
962393830,1
1137821633,6
1358697580,1
549999698,2
1339825253,1
1322241272,4
1352400383,1
1382644159,1
1208181347,1
958775291,2
307583122,1
1400312522,2
307583378,4
307584117,1
1357435423,1
1235890792,2
1395260766,2
958775510,4
1415472778,2
1381379163,2
1416454598,7
1031503549,1
1320990951,1
1404095581,1
1339824610,1
1215958381,2
1314712928,1
1315969409,1
1401291813,1
1110019567,2
1312209102,2
1418000697,2
1425585621,5
1217196343,1
1416736627,2
307580389,1
1365906359,7
307584202,1
1305932429,1
307577064,1
1315971785,1
1418000701,2
1401573316,1
1076809010,1
1285879812,2
307578899,1
1409158101,1
585047085,1
307583877,2
307578522,1
307583322,1
872711697,2
307578186,1
739098901,1
307586812,2
307577493,1
307583634,2
307582444,3
307578023,10
307586906,10
310788371,2
307584568,1
307575504,3
307579617,5
307581121,9
307582926,1
307581803,2
307574636,2
307579704,1
314115927,3
307581618,2
307584855,1
307581219,8
307584024,2
307580403,11
307582055,1
307578666,1
307583345,2
307586440,1
311623727,14
307579397,1
307579153,25
307580972,2
307586904,9
307576383,4
307578539,4
307578997,1
307584888,2
307578243,11
307586525,6
307578983,1
307577862,3
307586333,4
307579689,3
307586288,4
307579306,4
307580068,3
307583680,6
341077795,10
307580471,4
352150264,2
364150066,9
360716141,26
367595888,4
307579245,8
307585431,11
307577849,20
307585176,8
307580475,1
307584206,1
307585851,2
307586352,5
307576987,1
307575687,3
307580552,2
307585617,1
307574912,5
307580748,31
346176357,1
307579229,1
307580729,1
307575403,5
307583589,1
330854089,3
307585384,35
307577085,14
307583593,1
400102232,2
404545752,5
387735659,5
307592802,2
307586567,2
307577599,16
307585167,13
307581691,7
361575467,4
307585315,11
307587026,3
307583121,5
307584326,3
307575277,6
415295094,1
307582008,9
307582815,1
307576697,3
396546881,20
325802748,3
323296336,2
407225476,2
307580896,7
392136856,4
445350998,3
409909087,7
307577184,1
375445318,10
307580129,3
307577771,2
349585898,11
307583159,12
386857961,6
307581971,2
463913825,3
464848194,25
307578248,1
307584254,1
438001480,3
327485921,9
307576181,3
307585632,11
480123808,1
307575129,1
307577441,1
449961794,16
377203558,7
477976445,4
377202021,22
307578944,2
307578287,23
307583274,19
307586749,5
307579595,3
489814587,4
307575558,5
307575590,19
484615807,32
307578861,10
499982761,27
459249779,4
452740116,1
358140298,3
307581073,2
307576246,2
463912491,1
427970274,18
307585513,81
307579687,2
509671989,37
307575073,3
307583257,1
307575094,4
307583179,4
510635500,1
391251773,6
307580678,8
415290044,15
530229444,5
307583317,1
307587225,1
307577245,6
307585323,2
307581409,1
307578764,1
307575905,39
509663181,5
307586853,15
307583567,3
534185348,4
487471256,5
307576512,6
390378824,3
532212497,15
538139149,30
539134854,3
525309771,4
496895301,11
453671891,10
307582930,1
557992322,4
534184387,2
462977596,5
551996096,3
307584583,3
510635594,2
560522676,1
496590267,1
566691274,3
307574570,4
504802775,3
307583542,2
546097837,1
499982783,4
558007460,2
532212402,1
307586663,9
307583153,1
586164240,1
453670637,1
601278419,2
605962380,11
515513422,6
588492485,6
575621344,2
593562471,1
406328947,12
621459713,4
536162611,8
607357701,3
613824413,1
600666477,1
623993952,5
518439088,11
571232094,1
360715386,18
610646753,23
307576514,5
601042405,3
636760161,1
642344748,10
630107381,1
332538930,6
602008213,9
536161864,15
375444235,15
649511875,1
623993423,6
651569467,14
646006239,3
653611134,1
491753651,2
511606517,3
609773540,1
307584093,13
395664184,1
529243507,2
307585555,2
445351872,4
499018894,2
663747667,8
499019502,1
671054479,3
658364841,1
681352312,3
679306107,7
538143080,21
502869511,7
579021485,5
509672016,13
656752495,4
679308622,1
590556012,1
439837931,4
493198615,2
407225709,6
307583785,15
616878177,3
683945335,8
631129278,3
337647307,4
603226040,2
307584322,11
621620820,6
646716281,4
606734769,4
685098512,16
690820849,8
681894314,1
680878411,5
554004693,2
307582337,1
307579662,2
548663049,2
307579536,2
691969763,4
307582058,2
622979518,1
665439959,1
307575368,1
581828432,1
682775255,3
703444354,1
307585689,1
438921019,2
709180066,1
706875394,6
500943658,1
543111148,8
307580434,2
733317684,3
725242549,1
681352310,17
599550290,1
307585821,2
691970200,10
552001940,1
307580252,3
373705260,7
747195825,11
685097956,4
633155439,3
681360431,5
307583740,4
751838508,1
735627315,2
431794238,2
307582701,3
750676756,5
731005119,3
763428045,1
773895788,2
772729053,2
441675839,5
370205761,1
740255322,2
779723467,1
