"CUSTOMER_WID","INBOUND_CALLS_NUM"
976857364,2
962394374,1
1004716107,9
796077266,2
693117998,2
997434960,5
970829337,3
962393500,5
1002282507,10
962393723,2
1011996705,6
1010789100,8
1003489934,10
307575339,1
928748402,2
1030283117,14
958775071,4
1022957506,2
1010778381,17
307579820,2
1009563041,6
1043730155,5
1029066940,2
1009563596,2
307575217,3
1020524561,4
307579396,1
1046177177,3
961178089,4
864410568,2
747197128,2
833699257,1
1027845040,1
1036387565,12
1049843394,3
1030282241,5
1046177611,3
1030282034,1
307581749,11
706875736,3
1026617724,8
1044944815,7
307586835,2
1040054812,2
992577640,2
995011830,18
1062091060,4
1065776273,8
1062090727,2
1064550918,5
1068219745,3
1044946006,1
639288860,3
1035167210,6
615850447,1
987739202,1
1073126679,2
1070674239,3
970829117,1
959978431,1
1080503463,4
1068219736,4
1014433884,12
1090327985,3
1089105060,2
1082954219,2
307576643,1
1082954868,3
1063316617,4
969620667,1
968418088,2
1095244027,22
985314488,2
877457515,11
875081782,6
1063316946,1
1068218327,1
927550283,1
1070674352,3
1053513219,1
1063317058,2
1107557951,16
1111255755,3
1080502032,4
1057189234,1
1113722196,2
1091556667,4
1105103442,4
1052290372,20
1114959132,3
307576289,1
856121217,8
701127287,1
872711692,18
988955644,2
1111255530,5
871526398,1
1112487177,2
621930142,3
1124828288,4
1035167411,2
1123596975,8
1106334574,2
1107557376,4
1123597637,8
1111255430,3
1121121865,8
1137820654,2
777390725,1
307586077,3
631366809,3
995003683,3
903639603,4
1113721973,2
967210022,1
1148949427,1
1124826855,3
1081726873,5
1123597080,1
1121123205,1
1086639444,7
1097713711,3
1108792879,7
1110019461,6
991373528,1
1079272887,6
1027845696,5
1010789538,1
1160088760,2
1047398646,6
1105102563,4
1108792878,6
1132236887,3
1111254754,6
1097714382,6
1171244595,10
307584758,6
1116192958,4
1164730635,1
609043388,2
790228060,2
1052291256,1
1148949967,1
1133479576,6
701126512,2
1128527252,26
1194555674,3
1129769495,1
1033942084,2
1052291030,1
838400651,10
1128528130,5
1193579235,8
1132236432,1
993790444,1
