CUSTOMER_ID,KEYWORDS_NUM
21424846,1
21853291,8
21297255,8
22940675,2
22532293,3
21863454,3
22814439,1
22701419,1
21153489,5
21683638,7
21738595,1
21625455,1
22190029,7
21295086,1
21144777,1
22407063,2
22689056,15
22443960,2
21775056,2
22061277,6
21539684,1
21984502,21
21079298,1
22655324,13
22279600,4
21763801,2
21480347,16
21742565,5
21620201,11
21575288,4
21659281,2
22196348,2
21792130,5
21355352,8
22764535,1
21260526,2
22381101,15
22505221,2
21256027,6
22227216,1
21937974,9
21108006,6
21399461,1
21784336,1
23294950,2
22829135,5
22823979,4
21647436,4
21244838,6
21847597,2
22245734,1
23505312,2
21366967,1
21872890,4
22291447,7
22917993,10
21600769,5
22810858,15
21900451,6
21363896,4
21994850,8
21432287,5
22388632,5
21516678,2
22634323,2
22077091,6
22223485,2
21505100,1
21128284,11
22484251,1
21822938,4
21975075,1
22515398,4
21721704,8
22233401,1
21989492,2
22659204,1
22745203,7
22912038,3
22381774,1
21832964,2
21487257,11
22248669,3
21922867,2
22409212,3
22604581,5
22922277,5
22518071,7
21898740,2
21758403,11
22824393,2
21762870,1
22823881,1
21568015,1
22392769,14
21519346,4
21982223,26
21812336,8
21799144,10
22789997,2
22067666,2
21846975,6
21250425,2
21365215,1
21768940,9
23572900,1
21134003,1
21361678,9
21940065,6
22489938,1
21923513,2
23261900,2
23260029,1
22718445,5
22058984,3
21174810,3
22198965,10
23267786,5
21866196,2
22595040,5
21626591,9
22107633,4
22221600,6
21281121,5
22392790,2
22316861,6
21633828,5
22484172,4
21845510,19
21805400,1
22125603,6
21246384,2
22191388,6
22531393,1
21696903,1
21284594,3
22755381,4
23342818,1
22342784,1
21620411,9
21889922,2
21472992,5
23628506,1
21225379,2
21428435,4
22880258,3
21342757,2
23372283,1
23319403,2
21865491,4
21370172,6
21618552,6
22686050,2
22029254,3
21540467,17
21321635,1
22202861,2
21697795,2
23340696,4
23498390,1
21680285,4
22263941,3
21386846,3
22354475,1
21525977,19
21614524,1
21686362,16
22046367,7
21449011,4
23452140,3
22044933,1
21250616,48
21452145,1
21298969,1
21322889,11
22336401,5
22526372,4
22157844,1
21792090,4
22617607,17
21810003,13
21970227,2
21506945,3
23585299,2
21621066,3
22125858,8
22286486,4
21815417,6
21709232,1
21811389,8
21886457,18
21529516,1
21799550,26
21809595,1
21345945,9
21322668,1
22199038,7
21167981,4
22647906,8
21995035,1
21750249,1
23341663,4
22709991,2
22783537,3
21339302,3
22010468,1
21782061,2
22285197,1
21969119,6
22199080,15
21460470,10
22380515,1
21781999,3
21160848,9
21723051,2
21354326,3
22411388,10
22571685,4
22642669,1
21492017,1
22121370,1
22183382,3
22255088,14
21252013,7
22302006,3
21781012,2
21125577,2
21261071,1
21676206,1
22633891,1
21521748,6
21167452,1
21443945,3
21457545,3
22749497,3
21255780,2
23324429,2
21563658,2
23351386,4
21365169,12
23509643,1
22062173,12
22458926,2
22869629,3
23482044,3
23293663,1
21798900,2
21294575,4
21658306,2
21282212,1
21399849,4
22158387,1
21755947,1
22421751,3
22322067,1
21778127,6
22257284,2
22022487,1
22105915,2
22394894,4
21189697,9
22005741,6
21681374,1
23504382,3
22612088,3
23622366,3
22413974,13
23292497,2
21348699,2
21947836,5
21481588,5
22608715,6
22782986,1
21421501,2
21658831,3
22090149,12
22184508,1
21389984,4
21509789,2
21684014,7
22076562,2
22208874,5
21581801,8
21571498,6
23072577,5
21805794,7
22394264,11
22279163,1
21817405,3
23424500,3
21342646,7
22612250,5
22844518,2
22261096,1
21786636,12
22550148,6
21454278,1
22105303,2
22418941,1
22270910,5
21127807,2
23418943,1
22435344,8
21895606,1
22446998,8
21338389,15
22937124,2
22833463,2
21286531,30
21339922,8
22339499,4
22095732,3
22862568,2
21743019,13
21717317,8
23486070,3
22310494,6
