CUSTOMER_ID,CANCEL_REQUEST_NUM
21853291,1
21738595,1
22328175,1
22197443,1
21775056,1
21984502,5
22279600,1
21763801,1
21480347,1
22764535,2
21260526,1
21620201,3
21792130,1
21355352,1
22735600,1
22710272,2
21937974,2
21784336,1
21647436,1
22823979,1
21872890,4
22245734,1
21366967,1
22917993,1
22810858,3
22291447,1
21900451,1
21994850,1
21128284,2
21975075,1
22484251,1
22659204,1
22248669,1
22922277,1
21832964,2
21812336,1
21982223,2
21134003,2
21940065,1
22489938,1
23260029,1
21174810,1
21866196,1
23267786,1
22392790,1
21845510,2
22531393,1
21284594,2
22191388,2
21696903,1
21428435,1
21342757,1
22029254,1
22114668,1
21680285,1
21525977,2
21449011,1
22263941,1
21686362,2
21792090,1
22617607,1
22157844,1
21621066,1
22125858,1
21529516,1
21339302,1
22010468,1
21750249,1
22285197,2
21460470,3
22789663,1
21781999,1
22411388,2
22255088,4
21261071,2
21676206,1
21521748,2
21443945,1
21457545,1
21563658,1
22458926,1
21282212,1
22394894,1
22005741,1
21348699,1
22612088,1
23622366,1
22413974,1
22608715,1
21684014,3
22076562,1
22208874,1
21805794,1
22394264,3
22446998,1
22435344,1
21286531,5
22310494,1
21389797,1
21412906,1
22835413,2
21895972,1
21764413,1
22031628,1
22188495,1
22699332,2
22551904,1
21535524,1
21592617,1
21185709,1
23312035,2
21185940,1
22566164,1
21134310,1
21505987,1
23124999,1
22814655,1
22352968,2
23406619,2
22303874,1
22033320,1
21163349,1
21284192,2
22014739,1
21493932,1
21342735,1
22544922,2
21360282,1
21653559,1
22885077,2
23311026,1
23095137,2
22060898,2
21989697,1
22058003,2
21174331,1
22560455,4
21922744,1
21236487,1
22335041,1
21395745,1
22229526,6
23337044,1
22226992,1
23469871,1
22125453,1
22425495,2
22901183,1
23593241,1
23148775,1
23150823,1
22282946,1
21090835,1
22548965,1
22223471,1
21319604,1
22400092,1
22410344,1
22010493,1
21443082,1
21855199,3
22515669,1
21492030,3
22589069,1
23340568,1
21581587,3
21752776,1
22093449,1
21365792,1
23330025,1
22328103,2
21731800,1
21209701,1
21461259,2
22955487,1
23458306,2
21615933,2
21383784,1
21251895,2
21924543,1
21445547,1
24039406,1
21946965,2
23138816,1
22999305,1
22392037,1
22861138,2
23229023,2
23783144,1
24090835,1
21572067,1
22815719,1
22461725,2
22300568,1
21533234,1
23543645,1
21646186,4
22800992,2
22413737,1
22916620,1
21103134,1
21359902,1
21142944,2
22170519,2
21088326,3
22050164,1
21236825,2
21426504,1
21895576,1
21455504,2
21342659,1
21289883,1
21928674,2
21504140,1
21430120,3
22036382,1
22304360,1
21737651,3
21936904,1
22300765,1
21155770,1
22163610,2
22367907,1
22184862,1
21755976,1
21174503,1
22151545,2
21620883,1
21806711,2
22115689,1
21286743,1
21652361,1
21163099,1
22197179,1
21941499,1
22616541,1
22195342,1
21974985,2
21707076,1
22364798,4
21823328,2
21942373,1
21184848,1
22182178,2
21602466,1
22014634,1
22274860,2
21483730,1
21765283,1
22080149,1
23252024,2
22348796,5
21400010,1
21371082,2
22067696,1
21960293,1
22567462,2
21647060,3
22462291,1
21525754,2
21293188,1
22398484,2
22462114,1
21736765,2
23503157,2
21657611,1
21600318,1
21298483,1
21165562,1
21657802,1
22916676,4
22099577,4
22144290,2
22379282,1
21776518,3
21690873,1
22061093,1
21851565,1
22050065,1
22572566,1
21690389,3
21162905,2
21536448,1
21188614,1
21612684,1
21176075,1
22489342,1
21490490,2
21736715,1
23489971,1
21303419,1
21926014,1
21379575,1
21421904,1
22659644,1
21554527,3
22002505,1
21697600,1
22358986,1
21365376,1
22792900,1
21120161,1
23311982,1
21292639,1
21943642,1
21213011,1
23154563,1
21251162,2
21123380,3
22047347,1
22373375,1
23467489,2
21851469,1
22556026,1
22213155,3
21210128,1
21245033,1
22297711,1
22282355,3
22348421,1
22313345,1
22941315,1
21789594,2
22194302,1
21516093,1
23434610,2
21130847,1
22226437,2
23237965,1
22024432,1
22374476,1
21174185,1
22422278,1
22559759,2
22827062,2
21961845,1
22242511,1
21297747,2
22208359,1
21977315,1
21270233,3
22131408,2
21984371,1
21835093,1
22038445,1
22343771,2
21170831,1
22153683,1
21994444,1
21900098,2
21609661,1
21861278,1
22183330,2
22673261,1
21736669,1
22849049,1
21833294,1
22137383,1
22104731,1
21683964,2
23300506,1
21677950,1
21456540,2
22227004,1
21702181,2
22191467,2
21281984,1
21123767,1
22121844,1
21454347,2
22883100,1
21626228,2
22992727,1
22602026,1
21281865,2
21659254,1
21861006,1
23185945,1
22422735,2
22958129,1
21872428,3
22866291,1
21707606,2
22313712,1
22234682,2
22891142,1
21349275,1
22067744,3
22105523,1
21123393,5
22418612,1
21785581,4
21943919,1
21146091,1
21646601,1
22652854,3
21434470,1
22122812,2
21244042,1
21628748,2
23783304,1
23095987,2
22251548,2
22727363,2
21298834,4
23521638,1
22088969,1
22933504,1
21958698,1
21197129,1
21330001,1
21428669,1
22766571,1
22075444,1
23061439,1
21439420,3
21389986,2
22582412,1
22418494,1
22003492,1
22737816,2
22434474,2
21405663,3
23439847,1
21891661,1
23847855,1
22182733,1
22305017,1
21749983,4
21923473,3
23153027,2
23126751,1
23965968,2
21125431,3
22552949,1
22742403,2
23218940,2
22035257,1
21476091,1
21601878,1
23642125,2
21845106,1
23071272,1
21416365,2
23388505,1
23074926,1
21799354,3
21157377,3
22536807,2
21348452,1
21061750,2
23464209,2
21670921,2
21839314,1
23204982,1
23352199,1
22729462,1
21672658,2
23157337,3
21492170,1
21426444,1
23549038,1
23994545,1
23916916,1
21586378,2
21196139,2
23086895,1
21897052,2
23721289,1
22209379,1
22173038,2
21270087,1
21437260,1
23227313,1
21525581,1
23247382,1
23231373,1
21261253,2
22157427,2
21169317,1
23227902,2
24105747,1
22327176,1
23548991,2
21385736,1
23104874,1
22051157,1
22638032,1
21844666,1
22281685,1
22451623,1
24040401,1
22586926,1
21168326,1
22533120,3
23664949,1
23856136,1
21236437,2
23037994,2
22282033,1
22467860,1
21507430,2
23231337,2
22061514,1
21442132,2
23673924,1
21295187,3
22833294,1
23509569,1
23374906,3
23755191,1
21159481,2
22153395,1
22819630,1
21461724,1
21671919,1
22849116,1
22045577,1
21818013,3
22065577,3
22199583,2
22268853,1
22589198,1
21276944,1
21689021,1
21636159,1
21309769,1
21988784,1
21539891,1
21142187,1
22941418,1
21359562,1
22814884,2
22111114,1
22637202,2
21676887,2
21763293,1
22526454,2
21899820,2
22710130,3
21166281,1
22082753,1
21586870,1
21413114,2
22532138,1
21904465,1
21985598,1
22740665,1
21638648,1
21914798,1
21091305,2
22147988,1
22081969,1
22321781,1
22453239,6
21226404,1
22258740,2
21394796,1
21532810,2
21313428,2
22571052,1
21525816,1
22280193,1
22588369,2
22461085,1
21080473,2
21321132,1
22213795,1
21170296,3
22118212,2
21394518,2
23294879,1
21722940,2
21206493,1
22008699,1
21237125,1
21454024,2
21657540,1
21469729,1
21428009,2
21265035,3
21891158,2
22495326,1
22735641,1
22372154,2
21353609,1
22125822,3
21243510,2
21424735,1
21370336,1
21289349,3
21723597,1
22663916,2
21942130,1
22447093,1
21873031,1
21100129,2
21190972,2
21664508,1
21337038,2
21393894,2
21882653,1
22038852,2
21889603,3
21877991,1
22124113,2
21231000,1
22706885,1
22693025,1
21508468,1
21677324,1
21664984,1
21465959,1
21163409,1
22161141,1
22241517,2
22668909,1
22134211,1
21257105,1
21994795,1
22336212,2
21844999,1
21529259,1
22038197,1
21451903,1
21782108,2
21501090,1
22075714,2
22890105,1
21903209,2
21180948,2
21575115,2
22875588,4
21388072,1
21795032,1
21627490,1
22134007,1
22301167,2
21423794,1
21663611,1
21310052,1
22372343,2
21738013,1
22457482,1
22648478,1
21288247,2
21304000,1
22251945,1
22528678,4
21723499,3
21347361,1
23294385,2
21378023,1
21456712,1
21858905,1
21845195,1
21471443,1
21241251,2
21168287,1
21111333,1
23266606,1
22405854,2
22630180,1
21279980,1
21777223,2
21577547,1
21486129,3
21142765,1
21288007,1
21198738,1
21536319,1
22074514,1
21544608,1
22029526,1
22201872,1
21314468,1
22014661,1
22173013,1
22598953,1
21077775,2
21352816,1
21514025,2
21846818,1
21962736,1
22503886,1
21492260,1
22291988,1
22375679,1
21274912,1
21501965,1
21493574,1
22503451,1
21634055,1
21183499,2
21671281,1
22377941,2
22273882,1
21123038,1
21364186,2
21768536,1
