"CUSTOMER_WID","COLLECTION_EVENTS_NUM"
333394220,4
333394865,10
339355240,3
339355790,5
345324675,11
350437990,2
358139968,3
375445432,3
379852641,28
384223983,2
385101820,16
385979606,8
394781411,16
394781699,3
395664183,9
397434990,4
404545916,6
415293795,4
415294342,3
417084629,13
417086126,3
433394179,3
438002465,18
439839239,4
441675758,27
445351041,2
445352384,10
453671947,7
453672213,4
461113752,3
461114859,2
462978622,19
463913840,7
466435974,3
470434635,35
471923220,6
472330019,2
472332007,24
473256944,2
477498271,6
479882825,10
480532860,9
480812760,6
490334894,4
491796624,7
497540575,14
499018745,3
499019579,45
499020198,3
499020247,5
499982612,4
502869773,3
503836206,6
504803169,2
505791552,5
506756576,11
507723978,12
511606492,3
511606506,46
511607580,22
515511814,4
515512031,3
516485056,3
518440507,4
520395842,8
523344996,2
523345885,5
524330891,5
525310341,63
525310644,16
526290152,13
530230298,8
531216507,7
532212831,18
536162520,3
537149561,3
537150498,33
539134182,13
544097797,20
545099014,46
547098519,16
549085811,18
550996313,3
552993636,9
560938782,47
565557786,27
567045049,14
567583382,3
571594203,27
573725515,6
575385616,7
579087197,7
579110999,30
588492250,21
592258133,8
592564860,7
593543594,2
593562151,10
593562433,15
598783003,4
601672972,2
606288094,44
607713303,2
607747024,11
607747689,10
610783135,3
611461432,5
611762342,11
616418364,42
618918859,3
621476049,13
623264391,4
624526525,6
628071999,2
630104718,3
631078575,4
631129042,9
631456517,22
635199548,8
635256270,2
636230652,16
639288860,33
641604036,18
642353850,12
645428590,7
649512690,7
653609284,3
659767260,3
661811894,11
662938799,4
663864166,9
664900160,11
671054387,7
671108787,5
671444741,16
672001805,2
676218977,12
679307321,34
680586765,14
683945883,15
685097312,2
686238511,2
687387675,3
694259817,2
694266493,2
696544369,8
699977739,7
699978171,3
702273835,15
710319768,6
724090140,4
724093825,17
725241778,4
726405710,24
728709613,30
733318226,4
734478098,6
739098580,2
739098901,15
740255019,27
743726493,3
744886782,2
766915502,3
773894797,7
776228487,12
780890882,19
783223619,11
784398072,15
787883706,2
791396613,10
792564303,3
796077266,34
796078361,13
797255056,12
798427080,25
799610731,4
804310087,5
805491761,11
807842189,5
809012892,4
809013213,9
813700401,3
814871581,2
814871893,5
816046491,4
823110165,4
824289177,3
825470719,23
826642187,3
830166365,10
830166590,18
831349706,3
833699151,2
833699257,16
834873036,20
839582284,4
840756715,14
840756730,18
847846846,3
847847061,18
850204565,8
852564806,12
853758938,13
853759033,14
856121217,19
856121968,16
856122291,3
858493232,8
867966975,5
870345736,2
872711697,14
875081782,2
876271590,2
877457181,5
878643676,28
885775334,6
886962243,7
888159867,2
888160191,7
891723563,6
894106732,2
894106734,8
896491727,7
896492230,10
901253722,2
912003724,4
914388235,8
919169872,5
920364609,3
920365261,2
928748838,15
929953978,4
931145772,2
933541679,2
934743917,16
943144190,3
947951819,4
952762803,6
956368490,14
957569192,16
958775071,8
958775510,6
961178638,7
961178856,6
961178858,6
962393608,16
962393827,3
963589833,3
965999092,2
967210458,3
968418088,20
968418132,5
970829337,16
974443873,14
975656903,3
976857364,12
980484001,2
982903905,3
988955644,13
988956628,16
991373528,16
993790444,4
995003683,31
995011830,6
997435177,2
1001065942,3
1009563596,2
1009563795,11
1011996705,3
1013212305,17
1016867274,4
1026617724,13
1026618698,3
