CANCELED,ROW_WID,ACCNT_LOC,ARPU,SES,HOME_PASSED,CUST_SINCE_DT,MONTHS_AGE,CANCEL_DT,CITY,POP
1,833699687,4256185,326.17,B,424,04/08/2016 18:08:19,16.73,08/31/2017 11:54:29,MONCLOVA,MC
1,845485696,4258867,928.15,C,3277,04/26/2016 00:44:13,16.66,09/15/2017 11:54:29,MONCLOVA,MC
1,849023323,4259787,554.90,C,3441,05/02/2016 18:44:05,14.60,07/21/2017 11:54:29,MONCLOVA,MC
1,849022784,4259750,207.56,D,1813,04/28/2016 22:45:36,14.60,07/16/2017 11:54:29,MONCLOVA,MC
1,849022567,4259736,619.35,C,3441,04/25/2016 20:31:02,15.67,08/15/2017 11:54:29,MONCLOVA,MC
1,831344644,4255728,354.49,B,431,04/06/2016 23:07:29,15.79,07/31/2017 11:54:29,MONCLOVA,MC
1,831350470,4255652,345.42,C,605,04/12/2016 19:16:46,13.83,06/07/2017 11:54:29,MONCLOVA,MC
1,806662760,4251272,442.13,C,3441,03/28/2016 20:42:25,17.57,09/15/2017 11:54:29,MONCLOVA,MC
1,832521837,4255980,227.98,D,2089,04/12/2016 22:56:24,14.86,07/08/2017 11:54:29,FRONTERA,MC
1,832522811,4255926,178.83,D,2089,04/07/2016 19:24:22,16.76,08/31/2017 11:54:29,FRONTERA,MC
1,804310080,4250484,623.10,C,1152,03/15/2016 02:21:28,17.75,09/07/2017 11:54:29,FRONTERA,MC
1,804310727,4250492,469.07,C,382,03/15/2016 18:51:15,14.73,06/07/2017 11:54:29,MONCLOVA,MC
1,840756715,4257702,529.93,C,818,04/14/2016 18:52:24,15.76,08/07/2017 11:54:29,MONCLOVA,MC
1,866789555,4264398,544.72,C,863,05/09/2016 21:13:49,14.70,07/31/2017 11:54:29,MONCLOVA,MC
1,884590543,4268138,437.61,D,876,05/24/2016 18:00:50,15.54,09/10/2017 11:54:29,MONCLOVA,MC
1,840756934,4257884,560.81,C,3441,04/15/2016 01:26:16,15.76,08/07/2017 11:54:29,MONCLOVA,MC
1,888158786,4269407,405.92,D,892,06/09/2016 15:34:38,14.70,08/31/2017 11:54:29,MONCLOVA,MC
1,888159020,4269653,678.28,C,4899,05/30/2016 16:50:06,15.51,09/15/2017 11:54:29,MONCLOVA,MC
1,864409800,4264124,541.78,D,755,05/13/2016 23:44:39,15.79,09/07/2017 11:54:29,MONCLOVA,MC
1,840756620,4257783,598.11,D,1813,04/14/2016 21:29:25,15.76,08/07/2017 11:54:29,MONCLOVA,MC
1,888158895,4269418,274.07,C,4899,05/27/2016 18:31:30,14.60,08/15/2017 11:54:29,MONCLOVA,MC
1,864409364,4264020,288.67,C,767,05/12/2016 00:53:17,14.63,07/31/2017 11:54:29,MONCLOVA,MC
1,879838297,4267235,417.69,D,244,05/20/2016 17:38:24,13.70,07/11/2017 11:54:29,MONCLOVA,MC
1,840757343,4257912,381.96,D,1153,04/15/2016 16:51:36,13.74,06/07/2017 11:54:29,MONCLOVA,MC
1,909607506,4274138,253.98,C,4899,06/14/2016 16:50:31,14.77,09/07/2017 11:54:29,MONCLOVA,MC
1,902444578,4272740,771.17,A,2593,06/09/2016 15:59:49,13.70,07/31/2017 11:54:29,MONCLOVA,MC
1,830165831,4255359,520.73,D,1500,04/05/2016 22:10:58,17.47,09/20/2017 11:54:29,MONCLOVA,MC
1,910797597,4274482,350.35,C,842,06/15/2016 17:21:28,12.77,07/08/2017 11:54:29,MONCLOVA,MC
1,909607060,4274175,275.17,D,1813,06/14/2016 23:52:36,11.76,06/07/2017 11:54:29,MONCLOVA,MC
1,900064816,4271973,600.83,B,1735,06/09/2016 17:05:28,14.70,08/31/2017 11:54:29,MONCLOVA,MC
1,909606838,4274163,230.72,D,1500,06/14/2016 17:28:18,12.80,07/08/2017 11:54:29,MONCLOVA,MC
1,903639811,4272906,271.81,D,284,06/09/2016 23:33:08,11.69,05/31/2017 11:54:29,MONCLOVA,MC
1,919169443,4276235,588.89,D,296,06/22/2016 22:25:44,12.63,07/11/2017 11:54:29,MONCLOVA,MC
1,871527704,4265370,176.52,C,49,05/14/2016 19:32:33,12.76,06/07/2017 11:54:29,MONCLOVA,MC
1,919170307,4276064,317.86,D,1500,06/22/2016 16:29:34,11.61,06/10/2017 11:54:29,MONCLOVA,MC
1,883400113,4267982,180.10,C,863,05/24/2016 20:03:25,12.54,06/10/2017 11:54:29,MONCLOVA,MC
1,910798149,4274624,382.82,C,863,06/15/2016 23:39:46,11.73,06/07/2017 11:54:29,MONCLOVA,MC
1,862043605,4263582,185.72,C,3441,05/06/2016 18:16:08,15.80,08/31/2017 11:54:29,MONCLOVA,MC
1,839581625,4257442,210.26,C,122,04/14/2016 00:29:23,16.79,09/07/2017 11:54:29,FRONTERA,MC
1,901253941,4272291,490.84,C,3277,06/28/2016 00:55:37,13.34,08/07/2017 11:54:29,MONCLOVA,MC
1,892920550,4270484,491.11,D,2089,06/11/2016 17:31:02,12.67,07/01/2017 11:54:29,FRONTERA,MC
1,799610403,4249446,390.07,C,3441,03/28/2016 21:01:25,16.57,08/15/2017 11:54:29,MONCLOVA,MC
1,839582504,4257601,613.47,C,3441,04/14/2016 17:47:02,16.77,09/07/2017 11:54:29,MONCLOVA,MC
1,892921523,4270542,322.05,D,755,05/31/2016 19:43:19,15.47,09/15/2017 11:54:29,MONCLOVA,MC
1,876272345,4266229,482.95,C,1162,05/25/2016 19:43:42,14.67,08/15/2017 11:54:29,MONCLOVA,MC
1,877457294,4266652,437.02,B,424,05/18/2016 21:59:15,15.63,09/07/2017 11:54:29,MONCLOVA,MC
1,863219896,4263722,375.53,C,568,05/06/2016 16:35:13,13.83,07/01/2017 11:54:29,MONCLOVA,MC
1,895304823,4271157,520.22,C,3441,06/27/2016 15:37:58,12.64,07/16/2017 11:54:29,MONCLOVA,MC
1,877457727,4266681,189.82,D,118,05/19/2016 19:49:43,15.60,09/07/2017 11:54:29,MONCLOVA,MC
1,913188804,4275098,279.49,D,281,06/17/2016 18:23:54,12.70,07/08/2017 11:54:29,MONCLOVA,MC
1,913189351,4275124,318.36,C,392,06/17/2016 18:57:42,11.67,06/07/2017 11:54:29,MONCLOVA,MC
1,913189455,4275059,505.52,C,842,06/17/2016 21:09:30,13.66,08/07/2017 11:54:29,MONCLOVA,MC
1,805491563,4250974,402.73,C,465,03/17/2016 23:46:50,17.66,09/07/2017 11:54:29,FRONTERA,MC
1,805491357,4250957,431.33,D,1500,03/28/2016 15:57:49,14.58,06/15/2017 11:54:29,MONCLOVA,MC
1,805491630,4250668,315.79,C,3441,03/18/2016 19:14:51,18.05,09/20/2017 11:54:29,MONCLOVA,MC
1,805491847,4250748,437.81,C,1152,03/16/2016 21:38:03,16.70,08/07/2017 11:54:29,FRONTERA,MC
1,858487604,4262280,611.34,B,403,05/02/2016 18:04:50,16.57,09/20/2017 11:54:29,MONCLOVA,MC
1,908406309,4273813,438.96,C,3441,06/13/2016 16:49:16,14.80,09/07/2017 11:54:29,MONCLOVA,MC
1,896492120,4271470,511.43,D,296,06/04/2016 00:53:19,15.53,09/20/2017 11:54:29,MONCLOVA,MC
