CUSTOMER_ID,BUSINESS_CASE_NUM
21394514,2
21424846,6
21853291,6
21297255,10
22940675,6
22144599,4
22532293,17
21863454,10
21677411,3
21527363,3
21759712,6
22814439,8
22309858,4
22701419,4
23259972,5
21153489,9
21683638,9
21738595,3
22849718,5
22328175,3
21625455,6
22197443,1
22190029,15
21295086,4
21144777,5
22407063,5
22689056,24
22443960,6
21775056,1
22061277,18
21539684,5
22576677,5
21984502,22
21079298,2
22655324,19
22279600,15
21852366,3
21763801,7
22902279,7
22658784,5
21480347,20
21742565,9
21620201,19
21575288,4
21659281,3
22196348,5
21792130,6
21355352,21
22764535,6
21260526,8
22735600,2
22096190,2
22381101,15
22710272,3
22505221,6
22193259,2
21937974,18
21256027,4
22227216,3
21784336,6
21108006,9
21399461,3
23294950,17
23499484,6
23294718,6
22829135,15
22334387,3
22823979,12
21647436,5
22489880,5
21244838,14
22688255,7
21168857,3
21847597,4
23505312,16
22245734,3
21366967,4
21872890,9
22291447,15
21251576,6
22917993,30
21600769,5
22810858,23
21900451,48
22815646,7
21363896,10
21994850,26
22388632,13
23265376,7
21432287,9
21516678,6
22634323,11
22077091,11
22223485,3
21779785,1
21505100,2
21306745,3
21128284,12
22484251,5
21822938,7
22515398,7
21975075,1
21721704,15
22016830,3
22749491,7
22233401,7
21989492,9
22659204,2
22745203,13
22912038,9
21463344,2
22207742,3
22381774,11
21832964,8
22882031,6
22248669,4
21922867,4
22409212,7
21487257,11
22604581,12
22015347,1
22037512,5
22922277,7
22276490,2
22518071,12
21586159,2
21758403,16
21898740,4
21762870,10
22824393,9
22227939,1
22823881,5
21568015,7
21519346,9
21582482,4
22392769,12
21982223,33
21812336,14
21799144,15
21846975,17
22789997,9
22067666,5
21250425,5
22354381,4
21365215,5
21768940,14
22291001,7
23572900,9
21134003,6
21361678,7
21940065,7
21645511,5
23626550,7
22489938,3
21923513,2
23261900,16
21581524,5
23260029,3
23259100,7
22058984,10
22718445,8
22666733,8
21664230,5
21174810,6
22198965,31
23267786,10
21659924,3
21866196,12
22595040,16
21815477,2
21626591,22
22299108,1
22107633,6
22221600,11
21281121,9
22736300,6
22392790,4
23582425,6
22316861,5
22646235,1
21633828,13
21182083,3
22484172,11
21845510,23
21805400,4
23597217,8
22125603,13
21246384,7
22755381,13
22191388,16
21284594,5
22531393,3
21696903,9
21642791,2
23342818,8
22342784,7
21620411,13
22732711,2
21889922,5
23391950,5
21832595,1
23447410,6
21472992,12
23628506,9
21225379,11
21428435,11
22582648,12
22880258,8
22922067,10
21342757,6
23595119,6
23372283,10
23512013,6
21865491,23
23319403,9
21370172,5
21618552,11
22686050,9
22269243,3
22029254,16
22114668,3
21540467,10
21442340,2
22449732,2
21321635,3
22202861,2
21697795,6
23340696,13
23498390,7
21680285,6
22263941,4
21386846,5
22354475,4
21525977,24
22649612,6
21698968,2
21614524,5
23454075,6
21686362,21
22046367,23
21449011,3
23452140,9
22044933,9
22534508,2
