CUSTOMER_WID,INTERACTIONS_NUM
27451596,33
307571963,38
307571964,1
307571966,21
307571988,104
307572084,44
307572182,43
307572385,1
307572407,36
307572609,126
307572632,36
307572703,24
307572817,94
307573129,84
307573144,109
307573249,30
307573349,77
307573438,35
307573439,53
307573442,116
307573451,91
307573457,51
307573538,21
307573544,55
307573548,59
307573618,64
307573660,56
307573666,54
307573673,104
307573674,70
307573720,24
307573728,195
307573760,51
307573767,61
307573768,17
307573769,21
307573782,30
307573783,32
307573807,20
307573822,19
307573832,86
307573873,1
307573886,53
307573926,1
307573928,43
307573937,6
307573978,41
307574012,81
307574041,25
307574080,1
307574081,3
307574148,28
307574154,114
307574193,25
307574196,20
307574200,35
307574343,1
307574360,21
307574361,47
307574404,66
307574405,1
307574407,1
307574408,41
307574410,29
307574413,55
307574437,44
307574438,26
307574440,5
307574442,175
307574444,85
307574445,85
307574446,2
307574447,142
307574450,57
307574455,49
307574456,110
307574457,1
307574458,1
307574459,29
307574463,1
307574465,33
307574469,1
307574487,97
307574492,1
307574495,1
307574496,32
307574497,37
307574498,126
307574502,22
307574504,1
307574506,1
307574508,45
307574511,71
307574517,7
307574520,67
307574521,116
307574522,28
307574536,86
307574537,47
307574539,1
307574540,5
307574541,3
307574543,35
307574544,211
307574545,15
307574548,44
307574552,59
307574554,34
307574560,5
307574562,1
307574563,53
307574566,51
307574567,2
307574569,62
307574570,59
307574571,18
307574572,60
307574573,17
307574576,39
307574592,29
307574596,33
307574598,25
307574599,37
307574604,140
307574606,18
307574636,12
307574639,124
307574641,48
307574645,122
307574646,49
307574647,30
307574651,55
307574652,21
307574653,4
307574658,48
307574659,45
307574664,1
307574671,36
307574690,1
307574691,1
307574698,99
307574699,41
307574707,13
307574709,1
307574710,7
307574712,31
307574713,26
307574717,3
307574724,19
307574725,9
307574726,1
307574727,19
307574728,1
307574753,23
307574757,99
307574762,7
307574765,32
307574771,50
307574775,41
307574776,1
307574777,3
307574796,23
307574804,137
307574805,8
307574808,2
307574810,40
307574811,122
307574812,36
307574822,137
307574827,1
307574828,23
307574830,2
307574832,1
307574846,9
307574850,55
307574852,22
307574853,4
307574854,45
307574855,71
307574856,80
307574857,39
307574858,24
307574861,4
307574863,71
307574866,35
307574867,31
307574870,1
307574873,43
307574874,16
307574877,5
307574898,14
307574899,43
307574901,58
307574902,83
307574904,16
307574907,96
307574908,22
307574909,13
307574911,83
307574912,39
307574914,33
307574915,34
307574917,74
307574918,34
307574919,1
307574920,1
307574921,1
307574923,28
307574924,116
307574925,1
307574926,1
307574929,21
307574930,19
307574932,1
307574933,99
307574934,17
307574935,17
307574937,22
307574947,38
307574952,1
307574959,113
307574961,28
307574963,51
307574964,44
307574965,1
307574967,87
307574969,93
307574970,1
307574973,21
307574974,70
307574977,19
307574978,16
307574979,8
307574981,102
307574983,65
307574984,23
307574985,25
307574988,36
307575010,1
307575011,63
307575012,1
307575013,1
307575016,23
307575017,26
307575021,23
307575022,1
307575025,93
307575027,1
307575029,8
307575030,28
307575034,50
307575035,39
307575037,85
307575038,15
307575041,29
307575059,1
307575062,81
307575064,69
307575065,41
307575067,1
307575068,26
307575070,8
307575073,70
307575074,30
307575077,4
307575081,194
307575083,5
307575084,8
307575085,26
307575093,29
307575094,56
307575112,1
307575113,59
307575119,31
307575123,8
307575125,42
307575128,2
307575129,40
307575131,1
307575133,49
307575134,23
307575135,18
307575136,122
307575137,107
307575139,59
307575141,83
307575142,38
307575146,12
307575147,26
307575149,44
307575150,65
307575164,6
307575165,17
307575167,1
307575168,2
307575169,24
307575171,13
307575173,113
307575175,46
307575178,36
307575181,24
307575182,39
307575184,52
307575186,1
307575189,2
307575195,20
307575197,22
307575199,30
307575200,40
307575217,44
307575218,85
307575223,24
307575224,26
307575225,3
307575227,1
307575230,5
307575231,10
307575232,96
307575233,46
307575236,2
307575238,30
307575239,28
307575241,7
307575247,1
307575248,160
307575251,164
307575253,40
307575255,75
307575258,44
307575260,1
307575261,33
307575263,18
307575269,1
307575275,39
307575277,65
307575278,52
307575279,96
307575280,1
307575282,1
307575283,3
307575284,26
307575285,21
307575286,76
307575288,1
307575289,103
307575290,7
307575291,91
307575292,109
307575293,1
307575294,109
307575295,48
307575296,1
307575297,15
307575300,24
307575301,15
307575302,46
307575304,7
307575308,1
307575309,43
307575313,73
307575314,15
307575315,150
307575316,14
307575319,39
307575320,31
307575325,11
307575327,26
307575332,33
307575333,1
307575334,44
307575338,42
307575339,40
307575342,2
307575343,1
307575344,2
307575347,17
307575350,1
307575354,45
307575357,34
307575359,17
307575360,1
307575361,18
307575363,35
307575364,53
307575365,31
307575366,88
307575367,32
307575368,21
307575369,11
307575370,68
307575374,6
307575376,68
307575377,15
307575380,37
307575381,59
307575382,11
307575384,1
307575389,39
307575391,8
307575394,135
307575396,7
307575397,62
307575398,21
307575399,22
307575400,3
307575401,2
307575402,15
307575403,50
307575405,75
307575407,51
307575408,19
307575409,14
307575412,93
307575413,4
307575414,10
307575417,60
307575418,68
307575419,55
307575420,44
307575421,35
307575422,55
307575423,65
